'itemId','subType','count','name','basePrice','stock','canBuy','canSell','volatility','salesTax','stockLowest','stockHighest','stockFloor','stockCeil','priceFloor','priceCeil','jitterPerc','driftOut','driftIn','avgStock','itemClass'
1,0,64,'Stone',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
2,0,16,Grass',250,0,Y',Y',200,50,'-INF','+INF','-INF','+INF',50,+INF',0,0,0,0,0
3,0,64,'Dirt',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
4,0,64,'Cobblestone',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',113,'+INF',0,0,0,0,0
5,0,10,'WoodPlank',300,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',15,'+INF',0,0,0,0,0
6,0,16,'Sapling',350,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',18,'+INF',0,0,0,0,0
12,0,64,'Sand',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
13,0,64,'Gravel',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',13,'+INF',0,0,0,0,0
17,0,10,'WoodLog',1200,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',60,'+INF',0,0,0,0,0
18,0,16,Leaves',250,0,Y',Y',200,50,'-INF','+INF','-INF','+INF',50,+INF',0,0,0,0,0
20,0,64,'Glass',750,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',38,'+INF',0,0,0,0,0
22,0,10,LapisLazuli',2500,0,'Y','Y',400,50,'-INF','+INF','-INF','+INF',125,'+INF',0,0,0,0,0
23,0,1,'Dispenser',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
24,0,16,'Sandstone',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
25,0,1,'NoteBlock',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
27,0,16,PoweredRail',1000,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',31,'+INF',0,0,0,0,0
28,0,16,DetectordRail',1000,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',31,'+INF',0,0,0,0,0
29,0,8,StickyPiston',1500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',75,'+INF',0,0,0,0,0
33,0,8,Piston',1000,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',75,'+INF',0,0,0,0,0
35,0,10,'Wool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,1,10,OrangeWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,2,10,MagentaWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,3,10,LightBlueWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,4,10,YellowWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,5,10,LimeWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,6,10,PinkWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,7,10,GreyWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,8,10,LightGreyWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,9,10,CyanWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,10,10,PurpleWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,11,10,BlueWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,12,10,BrownWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,13,10,GreenWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,14,10,RedWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
35,15,10,BlackWool',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
37,0,1,'YellowFlower',75,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',4,'+INF',0,0,0,0,0
38,0,1,'RedRose',75,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',4,'+INF',0,0,0,0,0
39,0,1,'BrownMushroom',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',13,'+INF',0,0,0,0,0
40,0,1,'RedMushroom',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',13,'+INF',0,0,0,0,0
44,0,10,'StoneSlab',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',13,'+INF',0,0,0,0,0
44,1,10,'SandstoneSlab',925,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',46,'+INF',0,0,0,0,0
44,2,10,'WoodSlab',900,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',45,'+INF',0,0,0,0,0
44,3,10,'CobbleSlab',1050,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',53,'+INF',0,0,0,0,0
45,0,10,'BrickBlock',2500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',125,'+INF',0,0,0,0,0
46,0,8,'TNT',1500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',75,'+INF',0,0,0,0,0
47,0,1,'Bookcase',2500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',125,'+INF',0,0,0,0,0
48,0,10,'MossyCobblestone',1000,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',50,'+INF',0,0,0,0,0
49,0,16,'Obsidian',5000,0,'Y','Y',400,50,'-INF','+INF','-INF','+INF',250,'+INF',0,0,0,0,0
50,0,32,'Torch',1000,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',50,'+INF',0,0,0,0,0
52,0,1,'MobSpawner',50000,0,'Y','Y',1000,75,'-INF','+INF','-INF','+INF',2500,'+INF',0,0,0,0,0
53,0,8,WoodenStairs',850,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',43,'+INF',0,0,0,0,0
54,0,1,Chest',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',43,'+INF',0,0,0,0,0
58,0,1,CraftingTable',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',43,'+INF',0,0,0,0,0
59,0,8,Seeds',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',43,'+INF',0,0,0,0,0
61,0,1,Furnace',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',43,'+INF',0,0,0,0,0
65,0,8,'Ladder',850,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',43,'+INF',0,0,0,0,0
66,0,16,'CartTracks',615,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',31,'+INF',0,0,0,0,0
67,0,8,CobblestoneStairs',850,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',43,'+INF',0,0,0,0,0
70,0,16,StonePressurePlate',615,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',31,'+INF',0,0,0,0,0
72,0,16,WoodenPressurePlate',615,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',31,'+INF',0,0,0,0,0
76,0,8,RedstoneTorch',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
77,0,16,StoneButton',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
80,0,10,'SnowBlock',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',13,'+INF',0,0,0,0,0
81,0,10,'Cactus',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',25,'+INF',0,0,0,0,0
84,0,1,Jukebox',1500,0,'Y','Y',400,50,'-INF','+INF','-INF','+INF',13,'+INF',0,0,0,0,0
85,0,16,Fence',500,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',13,'+INF',0,0,0,0,0
86,0,1,'Pumpkin',250,0,'Y','Y',200,50,'-INF','+INF','-INF','+INF',13,'+INF',0,0,0,0,0
87,0,10,'Netherrack',1500,0,'Y','Y',400,75,'-INF','+INF','-INF','+INF',75,'+INF',0,0,0,0,0
88,0,10,'SoulSand',1500,0,'Y','Y',400,50,'-INF','+INF','-INF','+INF',75,'+INF',0,0,0,0,0
89,0,10,'Glowstone',2500,0,'Y','Y',400,50,'-INF','+INF','-INF','+INF',125,'+INF',0,0,0,0,0
